#omega	spectral weight
-5.000000e+00	3.777241e-04
-4.975000e+00	3.816699e-04
-4.950000e+00	3.856953e-04
-4.925000e+00	3.898025e-04
-4.900000e+00	3.939939e-04
-4.875000e+00	3.982723e-04
-4.850000e+00	4.026400e-04
-4.825000e+00	4.071000e-04
-4.800000e+00	4.116550e-04
-4.775000e+00	4.163081e-04
-4.750000e+00	4.210622e-04
-4.725000e+00	4.259206e-04
-4.700000e+00	4.308866e-04
-4.675000e+00	4.359637e-04
-4.650000e+00	4.411555e-04
-4.625000e+00	4.464657e-04
-4.600000e+00	4.518984e-04
-4.575000e+00	4.574575e-04
-4.550000e+00	4.631474e-04
-4.525000e+00	4.689725e-04
-4.500000e+00	4.749374e-04
-4.475000e+00	4.810471e-04
-4.450000e+00	4.873066e-04
-4.425000e+00	4.937211e-04
-4.400000e+00	5.002964e-04
-4.375000e+00	5.070380e-04
-4.350000e+00	5.139522e-04
-4.325000e+00	5.210452e-04
-4.300000e+00	5.283238e-04
-4.275000e+00	5.357949e-04
-4.250000e+00	5.434658e-04
-4.225000e+00	5.513442e-04
-4.200000e+00	5.594381e-04
-4.175000e+00	5.677560e-04
-4.150000e+00	5.763067e-04
-4.125000e+00	5.850996e-04
-4.100000e+00	5.941444e-04
-4.075000e+00	6.034516e-04
-4.050000e+00	6.130319e-04
-4.025000e+00	6.228967e-04
-4.000000e+00	6.330582e-04
-3.975000e+00	6.435289e-04
-3.950000e+00	6.543223e-04
-3.925000e+00	6.654525e-04
-3.900000e+00	6.769345e-04
-3.875000e+00	6.887839e-04
-3.850000e+00	7.010176e-04
-3.825000e+00	7.136531e-04
-3.800000e+00	7.267090e-04
-3.775000e+00	7.402053e-04
-3.750000e+00	7.541629e-04
-3.725000e+00	7.686040e-04
-3.700000e+00	7.835523e-04
-3.675000e+00	7.990329e-04
-3.650000e+00	8.150725e-04
-3.625000e+00	8.316995e-04
-3.600000e+00	8.489442e-04
-3.575000e+00	8.668389e-04
-3.550000e+00	8.854179e-04
-3.525000e+00	9.047180e-04
-3.500000e+00	9.247784e-04
-3.475000e+00	9.456412e-04
-3.450000e+00	9.673513e-04
-3.425000e+00	9.899569e-04
-3.400000e+00	1.013510e-03
-3.375000e+00	1.038065e-03
-3.350000e+00	1.063682e-03
-3.325000e+00	1.090426e-03
-3.300000e+00	1.118366e-03
-3.275000e+00	1.147575e-03
-3.250000e+00	1.178135e-03
-3.225000e+00	1.210132e-03
-3.200000e+00	1.243660e-03
-3.175000e+00	1.278822e-03
-3.150000e+00	1.315728e-03
-3.125000e+00	1.354498e-03
-3.100000e+00	1.395263e-03
-3.075000e+00	1.438165e-03
-3.050000e+00	1.483360e-03
-3.025000e+00	1.531018e-03
-3.000000e+00	1.581325e-03
-2.975000e+00	1.634484e-03
-2.950000e+00	1.690720e-03
-2.925000e+00	1.750280e-03
-2.900000e+00	1.813434e-03
-2.875000e+00	1.880482e-03
-2.850000e+00	1.951758e-03
-2.825000e+00	2.027629e-03
-2.800000e+00	2.108505e-03
-2.775000e+00	2.194840e-03
-2.750000e+00	2.287146e-03
-2.725000e+00	2.385990e-03
-2.700000e+00	2.492013e-03
-2.675000e+00	2.605935e-03
-2.650000e+00	2.728566e-03
-2.625000e+00	2.860825e-03
-2.600000e+00	3.003755e-03
-2.575000e+00	3.158544e-03
-2.550000e+00	3.326549e-03
-2.525000e+00	3.509324e-03
-2.500000e+00	3.708663e-03
-2.475000e+00	3.926635e-03
-2.450000e+00	4.165641e-03
-2.425000e+00	4.428484e-03
-2.400000e+00	4.718441e-03
-2.375000e+00	5.039374e-03
-2.350000e+00	5.395850e-03
-2.325000e+00	5.793304e-03
-2.300000e+00	6.238239e-03
-2.275000e+00	6.738494e-03
-2.250000e+00	7.303572e-03
-2.225000e+00	7.945085e-03
-2.200000e+00	8.677328e-03
-2.175000e+00	9.518052e-03
-2.150000e+00	1.048949e-02
-2.125000e+00	1.161977e-02
-2.100000e+00	1.294482e-02
-2.075000e+00	1.451109e-02
-2.050000e+00	1.637930e-02
-2.025000e+00	1.862984e-02
-2.000000e+00	2.137060e-02
-1.975000e+00	2.474835e-02
-1.950000e+00	2.896557e-02
-1.925000e+00	3.430536e-02
-1.900000e+00	4.116797e-02
-1.875000e+00	5.012274e-02
-1.850000e+00	6.197544e-02
-1.825000e+00	7.783263e-02
-1.800000e+00	9.908176e-02
-1.775000e+00	1.270264e-01
-1.750000e+00	1.615557e-01
-1.725000e+00	1.981365e-01
-1.700000e+00	2.249510e-01
-1.675000e+00	2.280138e-01
-1.650000e+00	2.054284e-01
-1.625000e+00	1.697461e-01
-1.600000e+00	1.341583e-01
-1.575000e+00	1.046735e-01
-1.550000e+00	8.205763e-02
-1.525000e+00	6.515325e-02
-1.500000e+00	5.253908e-02
-1.475000e+00	4.303902e-02
-1.450000e+00	3.578576e-02
-1.425000e+00	3.016421e-02
-1.400000e+00	2.574202e-02
-1.375000e+00	2.221400e-02
-1.350000e+00	1.936249e-02
-1.325000e+00	1.703021e-02
-1.300000e+00	1.510191e-02
-1.275000e+00	1.349203e-02
-1.250000e+00	1.213612e-02
-1.225000e+00	1.098511e-02
-1.200000e+00	1.000111e-02
-1.175000e+00	9.154610e-03
-1.150000e+00	8.422388e-03
-1.125000e+00	7.785996e-03
-1.100000e+00	7.230680e-03
-1.075000e+00	6.744564e-03
-1.050000e+00	6.318051e-03
-1.025000e+00	5.943365e-03
-1.000000e+00	5.614220e-03
-9.750000e-01	5.325571e-03
-9.500000e-01	5.073430e-03
-9.250000e-01	4.854757e-03
-9.000000e-01	4.667392e-03
-8.750000e-01	4.510051e-03
-8.500000e-01	4.382391e-03
-8.250000e-01	4.285151e-03
-8.000000e-01	4.220410e-03
-7.750000e-01	4.191998e-03
-7.500000e-01	4.206103e-03
-7.250000e-01	4.272072e-03
-7.000000e-01	4.403214e-03
-6.750000e-01	4.616656e-03
-6.500000e-01	4.929276e-03
-6.250000e-01	5.342663e-03
-6.000000e-01	5.809377e-03
-5.750000e-01	6.202605e-03
-5.500000e-01	6.378339e-03
-5.250000e-01	6.336693e-03
-5.000000e-01	6.243185e-03
-4.750000e-01	6.273188e-03
-4.500000e-01	6.524316e-03
-4.250000e-01	7.021866e-03
-4.000000e-01	7.708740e-03
-3.750000e-01	8.401115e-03
-3.500000e-01	8.835805e-03
-3.250000e-01	8.914363e-03
-3.000000e-01	8.825561e-03
-2.750000e-01	8.788193e-03
-2.500000e-01	8.798930e-03
-2.250000e-01	8.680627e-03
-2.000000e-01	8.355442e-03
-1.750000e-01	7.982114e-03
-1.500000e-01	7.779340e-03
-1.250000e-01	7.854680e-03
-1.000000e-01	8.168622e-03
-7.500000e-02	8.530142e-03
-5.000000e-02	8.676474e-03
-2.500000e-02	8.518780e-03
7.105427e-14	8.255214e-03
2.500000e-02	8.160370e-03
5.000000e-02	8.405383e-03
7.500000e-02	9.046933e-03
1.000000e-01	1.001966e-02
1.250000e-01	1.105071e-02
1.500000e-01	1.164360e-02
1.750000e-01	1.142396e-02
2.000000e-01	1.056420e-02
2.250000e-01	9.568692e-03
2.500000e-01	8.790324e-03
2.750000e-01	8.311024e-03
3.000000e-01	8.063692e-03
3.250000e-01	7.958625e-03
3.500000e-01	7.902469e-03
3.750000e-01	7.784044e-03
4.000000e-01	7.581022e-03
4.250000e-01	7.423460e-03
4.500000e-01	7.479373e-03
4.750000e-01	7.862797e-03
5.000000e-01	8.635023e-03
5.250000e-01	9.795760e-03
5.500000e-01	1.119168e-02
5.750000e-01	1.238172e-02
6.000000e-01	1.274723e-02
6.250000e-01	1.205565e-02
6.500000e-01	1.074289e-02
6.750000e-01	9.408296e-03
7.000000e-01	8.379112e-03
7.250000e-01	7.735652e-03
7.500000e-01	7.447828e-03
7.750000e-01	7.422405e-03
8.000000e-01	7.492737e-03
8.250000e-01	7.473655e-03
8.500000e-01	7.323542e-03
8.750000e-01	7.188786e-03
9.000000e-01	7.252262e-03
9.250000e-01	7.631819e-03
9.500000e-01	8.381627e-03
9.750000e-01	9.477057e-03
1.000000e+00	1.071875e-02
1.025000e+00	1.164074e-02
1.050000e+00	1.173039e-02
1.075000e+00	1.095303e-02
1.100000e+00	9.778321e-03
1.125000e+00	8.658032e-03
1.150000e+00	7.789060e-03
1.175000e+00	7.215801e-03
1.200000e+00	6.917474e-03
1.225000e+00	6.807324e-03
1.250000e+00	6.743094e-03
1.275000e+00	6.629297e-03
1.300000e+00	6.518624e-03
1.325000e+00	6.549008e-03
1.350000e+00	6.828640e-03
1.375000e+00	7.398077e-03
