#omega	spectral weight
-5.000000e+00	2.919348e-04
-4.975000e+00	2.938256e-04
-4.950000e+00	2.957385e-04
-4.925000e+00	2.976739e-04
-4.900000e+00	2.996322e-04
-4.875000e+00	3.016138e-04
-4.850000e+00	3.036191e-04
-4.825000e+00	3.056486e-04
-4.800000e+00	3.077026e-04
-4.775000e+00	3.097817e-04
-4.750000e+00	3.118863e-04
-4.725000e+00	3.140168e-04
-4.700000e+00	3.161737e-04
-4.675000e+00	3.183576e-04
-4.650000e+00	3.205689e-04
-4.625000e+00	3.228082e-04
-4.600000e+00	3.250759e-04
-4.575000e+00	3.273726e-04
-4.550000e+00	3.296989e-04
-4.525000e+00	3.320554e-04
-4.500000e+00	3.344426e-04
-4.475000e+00	3.368611e-04
-4.450000e+00	3.393116e-04
-4.425000e+00	3.417946e-04
-4.400000e+00	3.443109e-04
-4.375000e+00	3.468611e-04
-4.350000e+00	3.494459e-04
-4.325000e+00	3.520659e-04
-4.300000e+00	3.547219e-04
-4.275000e+00	3.574147e-04
-4.250000e+00	3.601449e-04
-4.225000e+00	3.629135e-04
-4.200000e+00	3.657211e-04
-4.175000e+00	3.685687e-04
-4.150000e+00	3.714569e-04
-4.125000e+00	3.743869e-04
-4.100000e+00	3.773593e-04
-4.075000e+00	3.803752e-04
-4.050000e+00	3.834354e-04
-4.025000e+00	3.865411e-04
-4.000000e+00	3.896930e-04
-3.975000e+00	3.928924e-04
-3.950000e+00	3.961403e-04
-3.925000e+00	3.994377e-04
-3.900000e+00	4.027858e-04
-3.875000e+00	4.061857e-04
-3.850000e+00	4.096387e-04
-3.825000e+00	4.131460e-04
-3.800000e+00	4.167088e-04
-3.775000e+00	4.203284e-04
-3.750000e+00	4.240062e-04
-3.725000e+00	4.277436e-04
-3.700000e+00	4.315421e-04
-3.675000e+00	4.354030e-04
-3.650000e+00	4.393280e-04
-3.625000e+00	4.433185e-04
-3.600000e+00	4.473763e-04
-3.575000e+00	4.515030e-04
-3.550000e+00	4.557004e-04
-3.525000e+00	4.599702e-04
-3.500000e+00	4.643143e-04
-3.475000e+00	4.687345e-04
-3.450000e+00	4.732330e-04
-3.425000e+00	4.778117e-04
-3.400000e+00	4.824727e-04
-3.375000e+00	4.872182e-04
-3.350000e+00	4.920506e-04
-3.325000e+00	4.969721e-04
-3.300000e+00	5.019851e-04
-3.275000e+00	5.070922e-04
-3.250000e+00	5.122960e-04
-3.225000e+00	5.175992e-04
-3.200000e+00	5.230045e-04
-3.175000e+00	5.285150e-04
-3.150000e+00	5.341334e-04
-3.125000e+00	5.398631e-04
-3.100000e+00	5.457072e-04
-3.075000e+00	5.516691e-04
-3.050000e+00	5.577523e-04
-3.025000e+00	5.639603e-04
-3.000000e+00	5.702970e-04
-2.975000e+00	5.767663e-04
-2.950000e+00	5.833721e-04
-2.925000e+00	5.901188e-04
-2.900000e+00	5.970108e-04
-2.875000e+00	6.040525e-04
-2.850000e+00	6.112489e-04
-2.825000e+00	6.186047e-04
-2.800000e+00	6.261253e-04
-2.775000e+00	6.338159e-04
-2.750000e+00	6.416822e-04
-2.725000e+00	6.497300e-04
-2.700000e+00	6.579654e-04
-2.675000e+00	6.663948e-04
-2.650000e+00	6.750249e-04
-2.625000e+00	6.838625e-04
-2.600000e+00	6.929150e-04
-2.575000e+00	7.021899e-04
-2.550000e+00	7.116952e-04
-2.525000e+00	7.214391e-04
-2.500000e+00	7.314303e-04
-2.475000e+00	7.416779e-04
-2.450000e+00	7.521914e-04
-2.425000e+00	7.629809e-04
-2.400000e+00	7.740567e-04
-2.375000e+00	7.854299e-04
-2.350000e+00	7.971120e-04
-2.325000e+00	8.091151e-04
-2.300000e+00	8.214518e-04
-2.275000e+00	8.341357e-04
-2.250000e+00	8.471806e-04
-2.225000e+00	8.606014e-04
-2.200000e+00	8.744137e-04
-2.175000e+00	8.886338e-04
-2.150000e+00	9.032791e-04
-2.125000e+00	9.183679e-04
-2.100000e+00	9.339192e-04
-2.075000e+00	9.499535e-04
-2.050000e+00	9.664923e-04
-2.025000e+00	9.835582e-04
-2.000000e+00	1.001175e-03
-1.975000e+00	1.019369e-03
-1.950000e+00	1.038166e-03
-1.925000e+00	1.057596e-03
-1.900000e+00	1.077687e-03
-1.875000e+00	1.098474e-03
-1.850000e+00	1.119989e-03
-1.825000e+00	1.142270e-03
-1.800000e+00	1.165354e-03
-1.775000e+00	1.189284e-03
-1.750000e+00	1.214102e-03
-1.725000e+00	1.239857e-03
-1.700000e+00	1.266598e-03
-1.675000e+00	1.294378e-03
-1.650000e+00	1.323255e-03
-1.625000e+00	1.353291e-03
-1.600000e+00	1.384550e-03
-1.575000e+00	1.417104e-03
-1.550000e+00	1.451028e-03
-1.525000e+00	1.486405e-03
-1.500000e+00	1.523321e-03
-1.475000e+00	1.561871e-03
-1.450000e+00	1.602157e-03
-1.425000e+00	1.644290e-03
-1.400000e+00	1.688389e-03
-1.375000e+00	1.734584e-03
-1.350000e+00	1.783013e-03
-1.325000e+00	1.833831e-03
-1.300000e+00	1.887202e-03
-1.275000e+00	1.943307e-03
-1.250000e+00	2.002343e-03
-1.225000e+00	2.064525e-03
-1.200000e+00	2.130089e-03
-1.175000e+00	2.199294e-03
-1.150000e+00	2.272424e-03
-1.125000e+00	2.349792e-03
-1.100000e+00	2.431742e-03
-1.075000e+00	2.518657e-03
-1.050000e+00	2.610959e-03
-1.025000e+00	2.709119e-03
-1.000000e+00	2.813657e-03
-9.750000e-01	2.925160e-03
-9.500000e-01	3.044278e-03
-9.250000e-01	3.171747e-03
-9.000000e-01	3.308392e-03
-8.750000e-01	3.455146e-03
-8.500000e-01	3.613069e-03
-8.250000e-01	3.783366e-03
-8.000000e-01	3.967415e-03
-7.750000e-01	4.166803e-03
-7.500000e-01	4.383362e-03
-7.250000e-01	4.619220e-03
-7.000000e-01	4.876873e-03
-6.750000e-01	5.159260e-03
-6.500000e-01	5.469877e-03
-6.250000e-01	5.812900e-03
-6.000000e-01	6.193325e-03
-5.750000e-01	6.617029e-03
-5.500000e-01	7.090585e-03
-5.250000e-01	7.620527e-03
-5.000000e-01	8.212516e-03
-4.750000e-01	8.873081e-03
-4.500000e-01	9.615540e-03
-4.250000e-01	1.046318e-02
-4.000000e-01	1.144574e-02
-3.750000e-01	1.259701e-02
-3.500000e-01	1.395540e-02
-3.250000e-01	1.556183e-02
-3.000000e-01	1.744819e-02
-2.750000e-01	1.961867e-02
-2.500000e-01	2.206078e-02
-2.250000e-01	2.483201e-02
-2.000000e-01	2.813544e-02
-1.750000e-01	3.227303e-02
-1.500000e-01	3.758469e-02
-1.250000e-01	4.445637e-02
-1.000000e-01	5.332817e-02
-7.500000e-02	6.461736e-02
-5.000000e-02	7.855329e-02
-2.500000e-02	9.521722e-02
7.105427e-14	1.151533e-01
2.500000e-02	1.395419e-01
5.000000e-02	1.684726e-01
7.500000e-02	1.989601e-01
1.000000e-01	2.258025e-01
1.250000e-01	2.434617e-01
1.500000e-01	2.450587e-01
1.750000e-01	2.263587e-01
2.000000e-01	1.935716e-01
2.250000e-01	1.584995e-01
2.500000e-01	1.288444e-01
2.750000e-01	1.067032e-01
3.000000e-01	9.121848e-02
3.250000e-01	8.033616e-02
3.500000e-01	7.152543e-02
3.750000e-01	6.286446e-02
4.000000e-01	5.413710e-02
4.250000e-01	4.620226e-02
4.500000e-01	3.968633e-02
4.750000e-01	3.465462e-02
5.000000e-01	3.085188e-02
5.250000e-01	2.791646e-02
5.500000e-01	2.555243e-02
5.750000e-01	2.366765e-02
6.000000e-01	2.232470e-02
6.250000e-01	2.159664e-02
6.500000e-01	2.150055e-02
6.750000e-01	2.196157e-02
7.000000e-01	2.274429e-02
7.250000e-01	2.342328e-02
7.500000e-01	2.355123e-02
7.750000e-01	2.297095e-02
8.000000e-01	2.194426e-02
8.250000e-01	2.099240e-02
8.500000e-01	2.057008e-02
8.750000e-01	2.085551e-02
9.000000e-01	2.169592e-02
9.250000e-01	2.259254e-02
9.500000e-01	2.294726e-02
9.750000e-01	2.263018e-02
1.000000e+00	2.207660e-02
1.025000e+00	2.169681e-02
1.050000e+00	2.145814e-02
1.075000e+00	2.108261e-02
1.100000e+00	2.051433e-02
1.125000e+00	1.996211e-02
1.150000e+00	1.966016e-02
1.175000e+00	1.978742e-02
1.200000e+00	2.031907e-02
1.225000e+00	2.083956e-02
1.250000e+00	2.074732e-02
1.275000e+00	1.990716e-02
1.300000e+00	1.884728e-02
1.325000e+00	1.819551e-02
1.350000e+00	1.828860e-02
1.375000e+00	1.917536e-02
1.400000e+00	2.061251e-02
1.425000e+00	2.195403e-02
1.450000e+00	2.234776e-02
1.475000e+00	2.151843e-02
1.500000e+00	2.009359e-02
1.525000e+00	1.886096e-02
1.550000e+00	1.815898e-02
1.575000e+00	1.790636e-02
1.600000e+00	1.785912e-02
1.625000e+00	1.780200e-02
1.650000e+00	1.755061e-02
1.675000e+00	1.694631e-02
1.700000e+00	1.607076e-02
1.725000e+00	1.529125e-02
1.750000e+00	1.497263e-02
1.775000e+00	1.531239e-02
1.800000e+00	1.636101e-02
1.825000e+00	1.799550e-02
1.850000e+00	1.977805e-02
1.875000e+00	2.095131e-02
1.900000e+00	2.095337e-02
1.925000e+00	1.998355e-02
1.950000e+00	1.871586e-02
1.975000e+00	1.763449e-02
2.000000e+00	1.684009e-02
2.025000e+00	1.627883e-02
2.050000e+00	1.594987e-02
2.075000e+00	1.580842e-02
2.100000e+00	1.561804e-02
2.125000e+00	1.511898e-02
2.150000e+00	1.437699e-02
2.175000e+00	1.375420e-02
2.200000e+00	1.357901e-02
2.225000e+00	1.401396e-02
2.250000e+00	1.508066e-02
