#omega	spectral weight
-5.000000e+00	2.287640e-03
-4.975000e+00	2.303007e-03
-4.950000e+00	2.318548e-03
-4.925000e+00	2.334265e-03
-4.900000e+00	2.350163e-03
-4.875000e+00	2.366243e-03
-4.850000e+00	2.382509e-03
-4.825000e+00	2.398963e-03
-4.800000e+00	2.415610e-03
-4.775000e+00	2.432452e-03
-4.750000e+00	2.449493e-03
-4.725000e+00	2.466735e-03
-4.700000e+00	2.484184e-03
-4.675000e+00	2.501841e-03
-4.650000e+00	2.519710e-03
-4.625000e+00	2.537797e-03
-4.600000e+00	2.556103e-03
-4.575000e+00	2.574633e-03
-4.550000e+00	2.593391e-03
-4.525000e+00	2.612381e-03
-4.500000e+00	2.631608e-03
-4.475000e+00	2.651074e-03
-4.450000e+00	2.670786e-03
-4.425000e+00	2.690747e-03
-4.400000e+00	2.710961e-03
-4.375000e+00	2.731434e-03
-4.350000e+00	2.752171e-03
-4.325000e+00	2.773175e-03
-4.300000e+00	2.794453e-03
-4.275000e+00	2.816008e-03
-4.250000e+00	2.837848e-03
-4.225000e+00	2.859976e-03
-4.200000e+00	2.882399e-03
-4.175000e+00	2.905122e-03
-4.150000e+00	2.928151e-03
-4.125000e+00	2.951492e-03
-4.100000e+00	2.975151e-03
-4.075000e+00	2.999134e-03
-4.050000e+00	3.023449e-03
-4.025000e+00	3.048100e-03
-4.000000e+00	3.073096e-03
-3.975000e+00	3.098442e-03
-3.950000e+00	3.124147e-03
-3.925000e+00	3.150218e-03
-3.900000e+00	3.176661e-03
-3.875000e+00	3.203486e-03
-3.850000e+00	3.230699e-03
-3.825000e+00	3.258309e-03
-3.800000e+00	3.286324e-03
-3.775000e+00	3.314753e-03
-3.750000e+00	3.343605e-03
-3.725000e+00	3.372888e-03
-3.700000e+00	3.402613e-03
-3.675000e+00	3.432789e-03
-3.650000e+00	3.463424e-03
-3.625000e+00	3.494531e-03
-3.600000e+00	3.526119e-03
-3.575000e+00	3.558199e-03
-3.550000e+00	3.590782e-03
-3.525000e+00	3.623880e-03
-3.500000e+00	3.657503e-03
-3.475000e+00	3.691665e-03
-3.450000e+00	3.726378e-03
-3.425000e+00	3.761654e-03
-3.400000e+00	3.797507e-03
-3.375000e+00	3.833950e-03
-3.350000e+00	3.870997e-03
-3.325000e+00	3.908664e-03
-3.300000e+00	3.946964e-03
-3.275000e+00	3.985913e-03
-3.250000e+00	4.025528e-03
-3.225000e+00	4.065824e-03
-3.200000e+00	4.106818e-03
-3.175000e+00	4.148528e-03
-3.150000e+00	4.190971e-03
-3.125000e+00	4.234167e-03
-3.100000e+00	4.278135e-03
-3.075000e+00	4.322894e-03
-3.050000e+00	4.368465e-03
-3.025000e+00	4.414869e-03
-3.000000e+00	4.462128e-03
-2.975000e+00	4.510266e-03
-2.950000e+00	4.559304e-03
-2.925000e+00	4.609268e-03
-2.900000e+00	4.660183e-03
-2.875000e+00	4.712074e-03
-2.850000e+00	4.764969e-03
-2.825000e+00	4.818895e-03
-2.800000e+00	4.873882e-03
-2.775000e+00	4.929959e-03
-2.750000e+00	4.987158e-03
-2.725000e+00	5.045511e-03
-2.700000e+00	5.105050e-03
-2.675000e+00	5.165811e-03
-2.650000e+00	5.227830e-03
-2.625000e+00	5.291144e-03
-2.600000e+00	5.355792e-03
-2.575000e+00	5.421814e-03
-2.550000e+00	5.489252e-03
-2.525000e+00	5.558149e-03
-2.500000e+00	5.628551e-03
-2.475000e+00	5.700505e-03
-2.450000e+00	5.774059e-03
-2.425000e+00	5.849265e-03
-2.400000e+00	5.926176e-03
-2.375000e+00	6.004847e-03
-2.350000e+00	6.085335e-03
-2.325000e+00	6.167701e-03
-2.300000e+00	6.252007e-03
-2.275000e+00	6.338318e-03
-2.250000e+00	6.426702e-03
-2.225000e+00	6.517231e-03
-2.200000e+00	6.609979e-03
-2.175000e+00	6.705023e-03
-2.150000e+00	6.802444e-03
-2.125000e+00	6.902327e-03
-2.100000e+00	7.004760e-03
-2.075000e+00	7.109837e-03
-2.050000e+00	7.217654e-03
-2.025000e+00	7.328313e-03
-2.000000e+00	7.441921e-03
-1.975000e+00	7.558588e-03
-1.950000e+00	7.678433e-03
-1.925000e+00	7.801578e-03
-1.900000e+00	7.928152e-03
-1.875000e+00	8.058291e-03
-1.850000e+00	8.192136e-03
-1.825000e+00	8.329839e-03
-1.800000e+00	8.471555e-03
-1.775000e+00	8.617451e-03
-1.750000e+00	8.767702e-03
-1.725000e+00	8.922491e-03
-1.700000e+00	9.082013e-03
-1.675000e+00	9.246471e-03
-1.650000e+00	9.416082e-03
-1.625000e+00	9.591074e-03
-1.600000e+00	9.771688e-03
-1.575000e+00	9.958178e-03
-1.550000e+00	1.015082e-02
-1.525000e+00	1.034989e-02
