#omega	spectral weight
-6.000000e+00	1.673258e-05
-5.997500e+00	1.673951e-05
-5.995000e+00	1.674644e-05
-5.992500e+00	1.675338e-05
-5.990000e+00	1.676033e-05
-5.987500e+00	1.676728e-05
-5.985000e+00	1.677423e-05
-5.982500e+00	1.678119e-05
-5.980000e+00	1.678815e-05
-5.977500e+00	1.679512e-05
-5.975000e+00	1.680210e-05
-5.972500e+00	1.680908e-05
-5.970000e+00	1.681606e-05
-5.967500e+00	1.682305e-05
-5.965000e+00	1.683004e-05
-5.962500e+00	1.683704e-05
-5.960000e+00	1.684405e-05
-5.957500e+00	1.685106e-05
-5.955000e+00	1.685807e-05
-5.952500e+00	1.686509e-05
-5.950000e+00	1.687211e-05
-5.947500e+00	1.687914e-05
-5.945000e+00	1.688617e-05
-5.942500e+00	1.689321e-05
-5.940000e+00	1.690026e-05
-5.937500e+00	1.690730e-05
-5.935000e+00	1.691436e-05
-5.932500e+00	1.692142e-05
-5.930000e+00	1.692848e-05
-5.927500e+00	1.693555e-05
-5.925000e+00	1.694262e-05
-5.922500e+00	1.694970e-05
-5.920000e+00	1.695679e-05
-5.917500e+00	1.696387e-05
-5.915000e+00	1.697097e-05
-5.912500e+00	1.697807e-05
-5.910000e+00	1.698517e-05
-5.907500e+00	1.699228e-05
-5.905000e+00	1.699939e-05
-5.902500e+00	1.700651e-05
-5.900000e+00	1.701364e-05
-5.897500e+00	1.702077e-05
-5.895000e+00	1.702790e-05
-5.892500e+00	1.703504e-05
-5.890000e+00	1.704219e-05
-5.887500e+00	1.704934e-05
-5.885000e+00	1.705649e-05
-5.882500e+00	1.706365e-05
-5.880000e+00	1.707082e-05
-5.877500e+00	1.707799e-05
-5.875000e+00	1.708516e-05
-5.872500e+00	1.709234e-05
-5.870000e+00	1.709953e-05
-5.867500e+00	1.710672e-05
-5.865000e+00	1.711392e-05
-5.862500e+00	1.712112e-05
-5.860000e+00	1.712832e-05
-5.857500e+00	1.713554e-05
-5.855000e+00	1.714275e-05
-5.852500e+00	1.714997e-05
-5.850000e+00	1.715720e-05
-5.847500e+00	1.716443e-05
-5.845000e+00	1.717167e-05
-5.842500e+00	1.717891e-05
-5.840000e+00	1.718616e-05
-5.837500e+00	1.719342e-05
-5.835000e+00	1.720067e-05
-5.832500e+00	1.720794e-05
-5.830000e+00	1.721521e-05
-5.827500e+00	1.722248e-05
-5.825000e+00	1.722976e-05
-5.822500e+00	1.723705e-05
-5.820000e+00	1.724434e-05
-5.817500e+00	1.725163e-05
-5.815000e+00	1.725893e-05
-5.812500e+00	1.726624e-05
-5.810000e+00	1.727355e-05
-5.807500e+00	1.728087e-05
-5.805000e+00	1.728819e-05
-5.802500e+00	1.729551e-05
-5.800000e+00	1.730285e-05
-5.797500e+00	1.731019e-05
-5.795000e+00	1.731753e-05
-5.792500e+00	1.732488e-05
-5.790000e+00	1.733223e-05
-5.787500e+00	1.733959e-05
-5.785000e+00	1.734695e-05
-5.782500e+00	1.735432e-05
-5.780000e+00	1.736170e-05
-5.777500e+00	1.736908e-05
-5.775000e+00	1.737646e-05
-5.772500e+00	1.738386e-05
-5.770000e+00	1.739125e-05
-5.767500e+00	1.739865e-05
-5.765000e+00	1.740606e-05
-5.762500e+00	1.741348e-05
-5.760000e+00	1.742089e-05
-5.757500e+00	1.742832e-05
-5.755000e+00	1.743575e-05
-5.752500e+00	1.744318e-05
-5.750000e+00	1.745062e-05
-5.747500e+00	1.745807e-05
-5.745000e+00	1.746552e-05
-5.742500e+00	1.747297e-05
-5.740000e+00	1.748043e-05
-5.737500e+00	1.748790e-05
-5.735000e+00	1.749537e-05
-5.732500e+00	1.750285e-05
-5.730000e+00	1.751034e-05
-5.727500e+00	1.751783e-05
-5.725000e+00	1.752532e-05
-5.722500e+00	1.753282e-05
-5.720000e+00	1.754033e-05
-5.717500e+00	1.754784e-05
-5.715000e+00	1.755535e-05
-5.712500e+00	1.756288e-05
-5.710000e+00	1.757040e-05
-5.707500e+00	1.757794e-05
-5.705000e+00	1.758548e-05
-5.702500e+00	1.759302e-05
-5.700000e+00	1.760057e-05
-5.697500e+00	1.760812e-05
-5.695000e+00	1.761569e-05
-5.692500e+00	1.762325e-05
-5.690000e+00	1.763082e-05
-5.687500e+00	1.763840e-05
-5.685000e+00	1.764599e-05
-5.682500e+00	1.765357e-05
-5.680000e+00	1.766117e-05
-5.677500e+00	1.766877e-05
-5.675000e+00	1.767637e-05
-5.672500e+00	1.768399e-05
-5.670000e+00	1.769160e-05
-5.667500e+00	1.769923e-05
-5.665000e+00	1.770685e-05
-5.662500e+00	1.771449e-05
-5.660000e+00	1.772213e-05
-5.657500e+00	1.772977e-05
-5.655000e+00	1.773742e-05
-5.652500e+00	1.774508e-05
-5.650000e+00	1.775274e-05
-5.647500e+00	1.776041e-05
-5.645000e+00	1.776808e-05
-5.642500e+00	1.777576e-05
-5.640000e+00	1.778345e-05
-5.637500e+00	1.779114e-05
-5.635000e+00	1.779884e-05
-5.632500e+00	1.780654e-05
-5.630000e+00	1.781425e-05
-5.627500e+00	1.782196e-05
-5.625000e+00	1.782968e-05
-5.622500e+00	1.783740e-05
-5.620000e+00	1.784514e-05
-5.617500e+00	1.785287e-05
-5.615000e+00	1.786062e-05
-5.612500e+00	1.786836e-05
-5.610000e+00	1.787612e-05
-5.607500e+00	1.788388e-05
-5.605000e+00	1.789164e-05
-5.602500e+00	1.789941e-05
-5.600000e+00	1.790719e-05
-5.597500e+00	1.791497e-05
-5.595000e+00	1.792276e-05
-5.592500e+00	1.793056e-05
-5.590000e+00	1.793836e-05
-5.587500e+00	1.794617e-05
-5.585000e+00	1.795398e-05
-5.582500e+00	1.796180e-05
-5.580000e+00	1.796962e-05
-5.577500e+00	1.797745e-05
-5.575000e+00	1.798529e-05
-5.572500e+00	1.799313e-05
-5.570000e+00	1.800097e-05
-5.567500e+00	1.800883e-05
-5.565000e+00	1.801669e-05
-5.562500e+00	1.802455e-05
-5.560000e+00	1.803242e-05
-5.557500e+00	1.804030e-05
-5.555000e+00	1.804818e-05
-5.552500e+00	1.805607e-05
-5.550000e+00	1.806397e-05
-5.547500e+00	1.807187e-05
-5.545000e+00	1.807978e-05
-5.542500e+00	1.808769e-05
-5.540000e+00	1.809561e-05
-5.537500e+00	1.810353e-05
-5.535000e+00	1.811146e-05
-5.532500e+00	1.811940e-05
-5.530000e+00	1.812734e-05
-5.527500e+00	1.813529e-05
-5.525000e+00	1.814325e-05
-5.522500e+00	1.815121e-05
-5.520000e+00	1.815917e-05
-5.517500e+00	1.816715e-05
-5.515000e+00	1.817513e-05
-5.512500e+00	1.818311e-05
-5.510000e+00	1.819110e-05
-5.507500e+00	1.819910e-05
-5.505000e+00	1.820710e-05
-5.502500e+00	1.821511e-05
-5.500000e+00	1.822313e-05
-5.497500e+00	1.823115e-05
-5.495000e+00	1.823918e-05
-5.492500e+00	1.824721e-05
-5.490000e+00	1.825525e-05
-5.487500e+00	1.826329e-05
-5.485000e+00	1.827135e-05
-5.482500e+00	1.827940e-05
-5.480000e+00	1.828747e-05
-5.477500e+00	1.829554e-05
-5.475000e+00	1.830362e-05
-5.472500e+00	1.831170e-05
-5.470000e+00	1.831979e-05
-5.467500e+00	1.832788e-05
-5.465000e+00	1.833598e-05
-5.462500e+00	1.834409e-05
-5.460000e+00	1.835221e-05
-5.457500e+00	1.836032e-05
-5.455000e+00	1.836845e-05
-5.452500e+00	1.837658e-05
-5.450000e+00	1.838472e-05
-5.447500e+00	1.839287e-05
-5.445000e+00	1.840102e-05
-5.442500e+00	1.840918e-05
-5.440000e+00	1.841734e-05
-5.437500e+00	1.842551e-05
-5.435000e+00	1.843368e-05
-5.432500e+00	1.844187e-05
-5.430000e+00	1.845006e-05
-5.427500e+00	1.845825e-05
-5.425000e+00	1.846645e-05
-5.422500e+00	1.847466e-05
-5.420000e+00	1.848287e-05
-5.417500e+00	1.849109e-05
-5.415000e+00	1.849932e-05
-5.412500e+00	1.850755e-05
-5.410000e+00	1.851579e-05
-5.407500e+00	1.852404e-05
-5.405000e+00	1.853229e-05
-5.402500e+00	1.854055e-05
