#omega	spectral weight
-3.000000e+00	2.716062e-05
-2.997500e+00	2.717663e-05
-2.995000e+00	2.719267e-05
-2.992500e+00	2.720872e-05
-2.990000e+00	2.722480e-05
-2.987500e+00	2.724091e-05
-2.985000e+00	2.725703e-05
-2.982500e+00	2.727318e-05
-2.980000e+00	2.728935e-05
-2.977500e+00	2.730554e-05
-2.975000e+00	2.732175e-05
-2.972500e+00	2.733799e-05
-2.970000e+00	2.735424e-05
-2.967500e+00	2.737052e-05
-2.965000e+00	2.738683e-05
-2.962500e+00	2.740315e-05
-2.960000e+00	2.741950e-05
-2.957500e+00	2.743587e-05
-2.955000e+00	2.745227e-05
-2.952500e+00	2.746869e-05
-2.950000e+00	2.748513e-05
-2.947500e+00	2.750159e-05
-2.945000e+00	2.751808e-05
-2.942500e+00	2.753459e-05
-2.940000e+00	2.755112e-05
-2.937500e+00	2.756768e-05
-2.935000e+00	2.758426e-05
-2.932500e+00	2.760086e-05
-2.930000e+00	2.761749e-05
-2.927500e+00	2.763414e-05
-2.925000e+00	2.765082e-05
-2.922500e+00	2.766752e-05
-2.920000e+00	2.768424e-05
-2.917500e+00	2.770099e-05
-2.915000e+00	2.771776e-05
-2.912500e+00	2.773456e-05
-2.910000e+00	2.775138e-05
-2.907500e+00	2.776822e-05
-2.905000e+00	2.778509e-05
-2.902500e+00	2.780199e-05
-2.900000e+00	2.781890e-05
-2.897500e+00	2.783585e-05
-2.895000e+00	2.785282e-05
-2.892500e+00	2.786981e-05
-2.890000e+00	2.788683e-05
-2.887500e+00	2.790387e-05
-2.885000e+00	2.792094e-05
-2.882500e+00	2.793803e-05
-2.880000e+00	2.795515e-05
-2.877500e+00	2.797229e-05
-2.875000e+00	2.798946e-05
-2.872500e+00	2.800666e-05
-2.870000e+00	2.802388e-05
-2.867500e+00	2.804113e-05
-2.865000e+00	2.805840e-05
-2.862500e+00	2.807570e-05
-2.860000e+00	2.809302e-05
-2.857500e+00	2.811037e-05
-2.855000e+00	2.812775e-05
-2.852500e+00	2.814515e-05
-2.850000e+00	2.816258e-05
-2.847500e+00	2.818004e-05
-2.845000e+00	2.819752e-05
-2.842500e+00	2.821503e-05
-2.840000e+00	2.823257e-05
-2.837500e+00	2.825013e-05
-2.835000e+00	2.826772e-05
-2.832500e+00	2.828534e-05
-2.830000e+00	2.830298e-05
-2.827500e+00	2.832065e-05
-2.825000e+00	2.833835e-05
-2.822500e+00	2.835608e-05
-2.820000e+00	2.837383e-05
-2.817500e+00	2.839162e-05
-2.815000e+00	2.840943e-05
-2.812500e+00	2.842726e-05
-2.810000e+00	2.844513e-05
-2.807500e+00	2.846302e-05
-2.805000e+00	2.848094e-05
-2.802500e+00	2.849890e-05
-2.800000e+00	2.851687e-05
-2.797500e+00	2.853488e-05
-2.795000e+00	2.855292e-05
-2.792500e+00	2.857098e-05
-2.790000e+00	2.858908e-05
-2.787500e+00	2.860720e-05
-2.785000e+00	2.862535e-05
-2.782500e+00	2.864353e-05
-2.780000e+00	2.866174e-05
-2.777500e+00	2.867998e-05
-2.775000e+00	2.869825e-05
-2.772500e+00	2.871655e-05
