#omega	spectral weight
-6.000000e+00	2.238552e-05
-5.997500e+00	2.240508e-05
-5.995000e+00	2.242469e-05
-5.992500e+00	2.244435e-05
-5.990000e+00	2.246407e-05
-5.987500e+00	2.248383e-05
-5.985000e+00	2.250365e-05
-5.982500e+00	2.252352e-05
-5.980000e+00	2.254344e-05
-5.977500e+00	2.256341e-05
-5.975000e+00	2.258344e-05
-5.972500e+00	2.260352e-05
-5.970000e+00	2.262365e-05
-5.967500e+00	2.264384e-05
-5.965000e+00	2.266408e-05
-5.962500e+00	2.268437e-05
-5.960000e+00	2.270472e-05
-5.957500e+00	2.272512e-05
-5.955000e+00	2.274557e-05
-5.952500e+00	2.276609e-05
-5.950000e+00	2.278665e-05
-5.947500e+00	2.280728e-05
-5.945000e+00	2.282796e-05
-5.942500e+00	2.284869e-05
-5.940000e+00	2.286948e-05
-5.937500e+00	2.289033e-05
-5.935000e+00	2.291124e-05
-5.932500e+00	2.293220e-05
-5.930000e+00	2.295322e-05
-5.927500e+00	2.297430e-05
-5.925000e+00	2.299544e-05
-5.922500e+00	2.301663e-05
-5.920000e+00	2.303789e-05
-5.917500e+00	2.305920e-05
-5.915000e+00	2.308057e-05
-5.912500e+00	2.310201e-05
-5.910000e+00	2.312350e-05
-5.907500e+00	2.314505e-05
-5.905000e+00	2.316667e-05
-5.902500e+00	2.318834e-05
-5.900000e+00	2.321008e-05
-5.897500e+00	2.323188e-05
-5.895000e+00	2.325374e-05
-5.892500e+00	2.327566e-05
-5.890000e+00	2.329765e-05
-5.887500e+00	2.331970e-05
-5.885000e+00	2.334181e-05
-5.882500e+00	2.336399e-05
-5.880000e+00	2.338623e-05
-5.877500e+00	2.340853e-05
-5.875000e+00	2.343090e-05
-5.872500e+00	2.345333e-05
-5.870000e+00	2.347583e-05
-5.867500e+00	2.349840e-05
-5.865000e+00	2.352103e-05
-5.862500e+00	2.354373e-05
-5.860000e+00	2.356649e-05
-5.857500e+00	2.358933e-05
-5.855000e+00	2.361223e-05
-5.852500e+00	2.363520e-05
-5.850000e+00	2.365823e-05
-5.847500e+00	2.368134e-05
-5.845000e+00	2.370451e-05
-5.842500e+00	2.372776e-05
-5.840000e+00	2.375107e-05
-5.837500e+00	2.377446e-05
-5.835000e+00	2.379791e-05
-5.832500e+00	2.382144e-05
-5.830000e+00	2.384504e-05
-5.827500e+00	2.386871e-05
-5.825000e+00	2.389245e-05
-5.822500e+00	2.391626e-05
-5.820000e+00	2.394015e-05
-5.817500e+00	2.396411e-05
-5.815000e+00	2.398815e-05
-5.812500e+00	2.401226e-05
-5.810000e+00	2.403645e-05
-5.807500e+00	2.406071e-05
-5.805000e+00	2.408504e-05
-5.802500e+00	2.410946e-05
-5.800000e+00	2.413394e-05
-5.797500e+00	2.415851e-05
-5.795000e+00	2.418315e-05
-5.792500e+00	2.420788e-05
-5.790000e+00	2.423267e-05
-5.787500e+00	2.425755e-05
-5.785000e+00	2.428251e-05
-5.782500e+00	2.430755e-05
-5.780000e+00	2.433267e-05
-5.777500e+00	2.435787e-05
-5.775000e+00	2.438315e-05
-5.772500e+00	2.440851e-05
-5.770000e+00	2.443395e-05
-5.767500e+00	2.445948e-05
-5.765000e+00	2.448509e-05
-5.762500e+00	2.451078e-05
-5.760000e+00	2.453656e-05
-5.757500e+00	2.456242e-05
-5.755000e+00	2.458837e-05
-5.752500e+00	2.461440e-05
-5.750000e+00	2.464052e-05
-5.747500e+00	2.466673e-05
-5.745000e+00	2.469302e-05
-5.742500e+00	2.471940e-05
-5.740000e+00	2.474587e-05
-5.737500e+00	2.477243e-05
-5.735000e+00	2.479908e-05
-5.732500e+00	2.482581e-05
-5.730000e+00	2.485264e-05
-5.727500e+00	2.487956e-05
-5.725000e+00	2.490657e-05
-5.722500e+00	2.493368e-05
-5.720000e+00	2.496087e-05
-5.717500e+00	2.498816e-05
-5.715000e+00	2.501555e-05
-5.712500e+00	2.504302e-05
-5.710000e+00	2.507060e-05
-5.707500e+00	2.509827e-05
-5.705000e+00	2.512603e-05
-5.702500e+00	2.515390e-05
-5.700000e+00	2.518186e-05
-5.697500e+00	2.520991e-05
-5.695000e+00	2.523807e-05
-5.692500e+00	2.526633e-05
-5.690000e+00	2.529468e-05
-5.687500e+00	2.532314e-05
-5.685000e+00	2.535170e-05
-5.682500e+00	2.538036e-05
-5.680000e+00	2.540913e-05
-5.677500e+00	2.543799e-05
-5.675000e+00	2.546697e-05
-5.672500e+00	2.549604e-05
-5.670000e+00	2.552522e-05
-5.667500e+00	2.555451e-05
-5.665000e+00	2.558391e-05
-5.662500e+00	2.561341e-05
-5.660000e+00	2.564302e-05
-5.657500e+00	2.567274e-05
-5.655000e+00	2.570257e-05
-5.652500e+00	2.573251e-05
-5.650000e+00	2.576256e-05
-5.647500e+00	2.579272e-05
-5.645000e+00	2.582300e-05
-5.642500e+00	2.585339e-05
-5.640000e+00	2.588389e-05
-5.637500e+00	2.591451e-05
-5.635000e+00	2.594525e-05
-5.632500e+00	2.597610e-05
-5.630000e+00	2.600707e-05
-5.627500e+00	2.603815e-05
-5.625000e+00	2.606936e-05
-5.622500e+00	2.610068e-05
-5.620000e+00	2.613213e-05
-5.617500e+00	2.616370e-05
-5.615000e+00	2.619539e-05
-5.612500e+00	2.622720e-05
-5.610000e+00	2.625914e-05
-5.607500e+00	2.629120e-05
-5.605000e+00	2.632339e-05
-5.602500e+00	2.635570e-05
-5.600000e+00	2.638815e-05
-5.597500e+00	2.642072e-05
-5.595000e+00	2.645342e-05
-5.592500e+00	2.648625e-05
-5.590000e+00	2.651921e-05
-5.587500e+00	2.655230e-05
-5.585000e+00	2.658553e-05
-5.582500e+00	2.661889e-05
-5.580000e+00	2.665239e-05
-5.577500e+00	2.668602e-05
-5.575000e+00	2.671979e-05
-5.572500e+00	2.675370e-05
-5.570000e+00	2.678774e-05
-5.567500e+00	2.682193e-05
-5.565000e+00	2.685626e-05
-5.562500e+00	2.689073e-05
-5.560000e+00	2.692534e-05
-5.557500e+00	2.696010e-05
-5.555000e+00	2.699500e-05
-5.552500e+00	2.703005e-05
-5.550000e+00	2.706524e-05
-5.547500e+00	2.710059e-05
-5.545000e+00	2.713608e-05
-5.542500e+00	2.717173e-05
-5.540000e+00	2.720753e-05
-5.537500e+00	2.724348e-05
-5.535000e+00	2.727958e-05
-5.532500e+00	2.731584e-05
-5.530000e+00	2.735226e-05
-5.527500e+00	2.738883e-05
-5.525000e+00	2.742556e-05
-5.522500e+00	2.746246e-05
-5.520000e+00	2.749951e-05
-5.517500e+00	2.753673e-05
-5.515000e+00	2.757411e-05
-5.512500e+00	2.761166e-05
-5.510000e+00	2.764937e-05
-5.507500e+00	2.768725e-05
-5.505000e+00	2.772531e-05
-5.502500e+00	2.776353e-05
-5.500000e+00	2.780192e-05
-5.497500e+00	2.784049e-05
-5.495000e+00	2.787923e-05
-5.492500e+00	2.791814e-05
-5.490000e+00	2.795724e-05
-5.487500e+00	2.799651e-05
-5.485000e+00	2.803596e-05
-5.482500e+00	2.807560e-05
-5.480000e+00	2.811542e-05
-5.477500e+00	2.815542e-05
-5.475000e+00	2.819561e-05
-5.472500e+00	2.823598e-05
-5.470000e+00	2.827655e-05
-5.467500e+00	2.831731e-05
-5.465000e+00	2.835825e-05
-5.462500e+00	2.839940e-05
-5.460000e+00	2.844073e-05
-5.457500e+00	2.848227e-05
-5.455000e+00	2.852400e-05
